name,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
Plattekill,,,,,,,,,,1,,1,,,,,,1,3,No
Royal Mountain,,,,,,,,,,,,3,,,,,,1,4,No
Snow Ridge,,,,,,,,,,,,3,,1,,,,1,5,No
Song Mountain,,,,,,,,,,2,,2,,,,,,,4,No
Swain,,,,,,,,,3,,,1,,,,,,1,5,No
Thunder Ridge,,,,,,,,,,1,,2,,,,,,5,8,No
Titus Mountain,,,,,,,,,,2,,5,,,,,,1,8,No
Val Bialas Ski Center – Utica,,,,,,,,,,,,,,,,,1,,1,Yes
Victor Constant,,,,,,,,,,1,,,,,,,1,,2,No
Villa Roma,,,,,,,,,,,,1,,,,,,,1,No
West Mountain,,,,,,,,,1,2,,,,,,,1,1,5,No
Whiteface – Lake Placid,,1,,,,,,2,3,1,,2,,,,,,2,11,No
Willard Mountain,,,,,,,,,,,,2,,,,,2,1,5,No
Windham Mountain,,,,,,1,,3,,1,,1,,,,,,5,11,No
Woods Valley,,,,,,,,,1,,,2,,,,,,2,5,No
Appalachian Ski Mountain,,,,,,,,,2,,,1,,,,,1,2,6,No
Beech Mountain,,,,,,,,,4,,,2,,,,,1,2,9,No
Cataloochee,,,,,,,,,2,1,,,,,,,,2,5,No
Hatley Pointe,,,,,,,,,2,,,1,,,,,1,1,5,No
Sapphire Valley,,,,,,,,,1,,,,,,,,1,1,3,No
Sugar Mountain,,,,,,1,,2,1,,,2,,,,,,1,7,No
Bottineau Winter Park,,,,,,,,,,1,,,,1,,,2,2,6,No
Frost Fire Park,,,,,,,,,1,,,,,,,,,1,2,No
Huff Hills,,,,,,,,,,,,2,,,,,2,,4,No
Alpine Valley (Ohio),,,,,,,,,2,1,,,,,,,1,1,5,No
Boston Mills,,,,,,,,,1,4,,1,,,,,,1,7,No
Brandywine,,,,,,,,,3,2,,,,,,,1,1,7,No
Mad River Mountain,,,,,,,,,1,2,,2,,,,,3,1,9,No
Snow Trails,,,,,,,,,,4,,2,,,,,1,2,9,No
Anthony Lakes Mountain Resort,,,,,,,,,,1,,,,,,,1,1,3,No
Cooper Spur,,,,,,,,,,,,1,,,,,1,,2,No
Ferguson Ridge,,,,,,,,,,,,,,1,,,1,,2,Yes
