name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,num_lifts
Belleayre Mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,114.0,2024,3428,1404,12,New York,9
Soldier Mountain,https://www.skiresort.info/ski-resort/soldier-mountain/,69.0,5807,7178,1371,16,Idaho,3
Mountain High East,https://www.skiresort.info/ski-resort/mountain-high-east/,149.0,6594,8189,1594,7,California,4
Mt. Baldy,https://www.skiresort.info/ski-resort/mt-baldy/,115.0,6486,8596,2110,12,California,4
Holimont,https://www.skiresort.info/ski-resort/holimont/,114.0,1558,2260,702,12,New York,8
Butternut,https://www.skiresort.info/ski-resort/butternut/,85.0,820,1772,951,14,Massachusetts,5
Pebble Creek,https://www.skiresort.info/ski-resort/pebble-creek/,76.0,6358,8560,2201,12,Idaho,3
Sunlight Mountain,https://www.skiresort.info/ski-resort/sunlight-mountain/,104.0,7884,9892,2008,12,Colorado,3
Mt. Baker,https://www.skiresort.info/ski-resort/mt-baker/,94.27,3510,5105,1594,16,Washington,10
Burke Mountain,https://www.skiresort.info/ski-resort/burke-mountain/,89.0,1217,3199,1982,6,Vermont,5
Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,99.0,820,1240,420,9,Wisconsin,10
Cherry Peak,https://www.skiresort.info/ski-resort/cherry-peak/,55.0,7382,8645,1263,12,Utah,3
Spirit Mountain,https://www.skiresort.info/ski-resort/spirit-mountain/,86.0,689,1280,591,7,Minnesota,5
Seven Springs,https://www.skiresort.info/ski-resort/seven-springs/,111.0,2264,3002,738,11,Pennsylvania,10
Red River,https://www.skiresort.info/ski-resort/red-river/,129.0,8661,10285,1624,12,New Mexico,7
Arctic Valley,https://www.skiresort.info/ski-resort/arctic-valley/,55.0,2500,3898,1398,16,Alaska,4
Nordic Valley,https://www.skiresort.info/ski-resort/nordic-valley/,72.0,5354,7064,1709,6,Utah,4
Showdown,https://www.skiresort.info/ski-resort/showdown/,68.0,6857,8202,1345,12,Montana,4
Eagle Point,https://www.skiresort.info/ski-resort/eagle-point/,90.0,9098,10597,1499,12,Utah,5
Boyne Mountain,https://www.skiresort.info/ski-resort/boyne-mountain/,110.0,620,1119,499,9,Michigan,10
Mountain High West,https://www.skiresort.info/ski-resort/mountain-high-west/,149.0,6923,7907,984,9,California,5
Greek Peak,https://www.skiresort.info/ski-resort/greek-peak/,115.0,1148,2100,951,12,New York,6
Wintergreen Resort,https://www.skiresort.info/ski-resort/wintergreen-resort/,139.0,2513,3514,1001,6,Virginia,5
Shawnee Mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,85.0,476,1148,673,11,Pennsylvania,6
BigRock Mountain,https://www.skiresort.info/ski-resort/bigrock-mountain/,60.0,656,1634,978,12,Maine,2
Antelope Butte,https://www.skiresort.info/ski-resort/antelope-butte/,69.0,8399,9400,1001,13,Wyoming,3
Pine Creek,https://www.skiresort.info/ski-resort/pine-creek/,65.0,6873,8228,1355,10,Wyoming,1
Alpental,https://www.skiresort.info/ski-resort/alpental/,140.0,3156,5479,2323,6,Washington,4
Berkshire East,https://www.skiresort.info/ski-resort/berkshire-east/,99.0,659,1841,1181,8,Massachusetts,5
Wisp – McHenry (Deep Creek Lake),https://www.skiresort.info/ski-resort/wisp-mchenry-deep-creek-lake/,129.0,2415,3117,702,10,Maryland,8
Kissing Bridge,https://www.skiresort.info/ski-resort/kissing-bridge/,88.0,1240,1706,466,11,New York,8
Dartmouth Skiway,https://www.skiresort.info/ski-resort/dartmouth-skiway/,65.0,974,1942,968,10,New Hampshire,4
