name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
Christie Mountain,https://www.skiresort.info/ski-resort/christie-mountain/,53.0,1312.0,1673.0,361.0,3.0,Wisconsin,45.0,60.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,5,No
Christmas Mountain,https://www.skiresort.info/ski-resort/christmas-mountain/,80.0,1017.0,1214.0,197.0,1.0,Wisconsin,40.0,40.0,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,No
Cloudcroft,https://www.skiresort.info/ski-resort/cloudcroft/,65.0,8399.0,9098.0,699.0,6.0,New Mexico,74.0,120.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,No
Cloudmont,https://www.skiresort.info/ski-resort/cloudmont/,40.0,1650.0,1798.0,148.0,0.2,Alabama,9.0,6.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Cochran,https://www.skiresort.info/ski-resort/cochran/,19.0,400.0,699.0,299.0,1.0,Vermont,15.0,150.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Coffee Mill,https://www.skiresort.info/ski-resort/coffee-mill/,55.0,755.0,1181.0,427.0,1.0,Minnesota,40.0,48.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,No
Cooper Spur,https://www.skiresort.info/ski-resort/cooper-spur/,49.0,3999.0,4347.0,348.0,6.0,Oregon,50.0,100.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
Copper Mountain,https://www.skiresort.info/ski-resort/copper-mountain/,264.0,9711.0,12441.0,2730.0,78.0,Colorado,2465.0,305.0,Powdr,0,0,0,0,0,3,1,3,0,5,0,4,0,1,0,2,0,6,25,No
Coppervale,https://www.skiresort.info/ski-resort/coppervale/,40.0,5249.0,5988.0,738.0,2.0,California,80.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes
Cottonwood Butte,https://www.skiresort.info/ski-resort/cottonwood-butte/,20.0,4757.0,5600.0,843.0,3.0,Idaho,260.0,45.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes
Cranmore Mountain Resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,119.0,876.0,1998.0,1122.0,27.0,New Hampshire,170.0,120.0,Independent,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,2,7,No
Cranor Ski Hill,https://www.skiresort.info/ski-resort/cranor-ski-hill-gunnison/,22.0,7874.0,8189.0,315.0,1.0,Colorado,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Yes
Crested Butte,https://www.skiresort.info/ski-resort/crested-butte/,179.0,9101.0,11877.0,2776.0,75.0,Colorado,1547.0,234.0,Vail Resorts,0,0,0,0,0,0,0,4,3,3,0,0,0,2,0,0,0,3,15,No
Crotched Mountain,https://www.skiresort.info/ski-resort/crotched-mountain/,94.0,1188.0,2067.0,879.0,5.0,New Hampshire,75.0,105.0,Vail Resorts,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,5,No
Crystal Mountain (Michigan),https://www.skiresort.info/ski-resort/crystal-mountain-mi/,115.38,804.0,1178.0,374.0,3.0,Michigan,103.0,132.0,Independent,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,2,8,No
Crystal Mountain (Washington),https://www.skiresort.info/ski-resort/crystal-mountain-wa/,199.0,4400.0,7011.0,2612.0,31.0,Washington,2600.0,466.0,Alterra,0,1,0,0,0,2,0,2,1,2,0,2,0,0,0,0,0,1,11,No
Crystal Ridge,https://www.skiresort.info/ski-resort/the-rock-snowpark/,70.0,702.0,932.0,230.0,1.0,Wisconsin,30.0,50.0,Schmitz Brothers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5,No
